"사업장","공장","SafeSeal타입","반입번호","제조오더번호","SN","기존 SN","신규 SN","사용자재목록","사용수량목록","최종공정","상태"
"HSIONES","P2","CHEM SOAK","260331-071-6","T226033100082","A0496495 171156001","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260331-071-7","T226033100083","A0496495 169372519","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260331-071-8","T226033100084","A0496495 181479014","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260331-071-9","T226033100085","A0563802 171644916","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260401-071-2","T226040100110","A0508175 142186008","9000174472 4024 20014","9000174472 4925 01230","A0453501","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260401-071-2","T226040100110","A0508175 142186008","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260401-071-1","T226040100111","A0505752 196455919","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260401-071-6","T226040100115","A0503419 130895025","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260401-072-1","T226040100123","A0506293 137485318","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260401-072-2","T226040100124","A0506293 193585121","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260403-071-5","T226040300129","A0618162 217959504","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260403-071-6","T226040300130","A0618162 217959510","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260403-071-7","T226040300131","A0618162 219351902","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260403-071-8","T226040300132","A0618162 219352404","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260403-071-9","T226040300133","A0618162 219353005","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260403-071-10","T226040300134","A0618162 225381401","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260403-071-11","T226040300135","A0618162 234117701","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260403-071-12","T226040300136","A0505752 196455920","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260403-071-13","T226040300137","A0505752 197593907","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260403-071-1","T226040600067","A0609197 225380002","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260406-071-1","T226040600166","A0609197 225380004","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260406-072-1","T226040600167","A0496495 133031102","9000040639 1619 20004","9000174472 4225 20006","A0435265","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260406-072-1","T226040600167","A0496495 133031102","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260406-072-2","T226040600168","A0506293 241063315","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260406-072-3","T226040600169","A0506293 241063312","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260406-072-4","T226040600170","A0506293 241063304","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260406-072-5","T226040600171","A0506293 241063313","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260407-072-1","T226040700189","A0506293 160277807","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260407-072-2","T226040700190","A0506293 233207213","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260407-072-3","T226040700191","A0506293 137485309","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260407-072-4","T226040700192","A0506293 173605605","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260407-072-6","T226040700193","A0506293 222247017","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260407-072-5","T226040800007","A0506293 160277811","9000174472 1525 20011","9000174472 4825 20037","A0435265","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260407-072-5","T226040800007","A0506293 160277811","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-072-1","T226040800012","A0506293 237274201","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-072-2","T226040800013","A0506293 223715808","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-072-3","T226040800014","A0506293 237274208","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260408-072-4","T226040800015","A0506293 237274204","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-072-5","T226040800016","A0506293 238339804","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-072-6","T226040800017","A0506293 232489304","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-072-7","T226040800018","A0506293 213557402","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260408-072-8","T226040800019","A0506293 246714905","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260408-072-9","T226040800020","A0506293 219353605","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260408-072-9","T226040800020","A0506293 219353605","9000174472 3025 20021","9000174472 4725 20016","A0435265","1","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260408-072-10","T226040800021","A0506293 213557418","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260408-072-11","T226040800022","A0506293 240003101","","","","","출하검사","작업완료"
