"","","","","","","","","","","","","","","","","","SHT update","","","","","","","","SHT update","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No.","INDEX1","INDEX2","Customer","Fab","Tool","SS P/N","SS S/N","PO","0247#","수주번호","Note","S/D","Login date","Incoming date","Repair
Location","IONES->SHT","SHT->IONES","Arrival date
in iONES","CLN
Finsh date","Delivery
date","PM Reason","Arrived 
at SHT","Process Needed","Repaired","Refurb/replace reason","SHT Remark ","SHT PO","","Recycle
Count
(T-R-C)","Total wafer","Wafer Pass Copper","Wafer Pass
Nickel","WaferPass Tin-Silver","Wafer Pass 
Tin","Wafer Pass
Gold","Amp-Min Copper            ","Amp-Min 
Nickel","Amp-Min Tin-Silver","Amp-Min 
Tin","Amp-Min 
Gold","History file Date","Pass or Fail","DMR#","NC report content
(Auto // Need to update ""DMR Ctrl CV"" Sheet)","Status","Replcaement part","Repacement PN","Wafer Seal","Contact pin","Cotnact pin
Q'ty","기본
Screw","Screw
Q'ty","Screw other","Screw other
Q'ty","Retainer","Lead in","Lead in Q'ty"
"9326","129499712C","129499712-R0C","Samsung","L16","18150(SEC)","A0503419","129499712","4517547898","0247-07525","240104-071-7","","","45294","45294","","","","","45306","45307","SS Plate UP","","","","","","","","1-0-1","64","64","","","64","","1023","","","220","","","","","","","","","","","","","","","","","",""
"9330","125037304C","125037304-R0C","Samsung","L16","18150(SEC)","A0503419","125037304","4517548752","0247-07525","240104-071-11","","","45294","45294","","","","","45306","45307","SS Plate UP","","","","","","","","1-0-1","392","392","","","392","","","","","","","","","","","","","","","","","","","","","","",""
"9349","194118908C","194118908-R0C","Hynix","","21384(Hynix)","A0506293","194118908","4517569600","0247-05612","240108-072-6","","","45299","45299","","","","","45306","45307","Safeseal PM Counts Reach","","","","","","","","1-0-1","1000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9380","125037303C","125037303-R0C","Samsung","L16","18150(SEC)","A0503419","125037303","4517569817","0247-07525","240108-071-23","","","45299","45299","","","","","45306","45307","SS Plate UP","","","","","","","","1-0-1","56","56","","","56","","","","","","","","","","","","","","","","","","","","","","",""
"9387","815801005C","815801005-R0C","Samsung","L16","10393(SEC)","A0503419","815801005","4517569812","0247-07525","240108-071-30","","","45299","45299","","","","","45306","45307","SS Plate UP","","","","","","","","1-0-1","7","7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9397","815801013C","815801013-R0C","Hynix","","7022(Hynix)","A0503421","815801013","4517570628","0247-04585","240109-072-7","","","45300","45300","","","","","45306","45307","SS Plate UP","","","","","","","","1-0-1","286","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9399","160277822C","160277822-R0C","Hynix","","40383(Hynix)","A0506293","160277822","4517577072","0247-05612","240109-072-9","","","45300","45300","","","","","45306","45307","SS Plate UP","","","","","","","","1-0-1","251","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9406","125139901C","125139901-R0C","Hynix","","7022(Hynix)","A0503421","125139901","4517577071","0247-04585","240109-072-16","","","45300","45300","","","","","45306","45307","SS Plate UP","","","","","","","","1-0-1","410","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9431","129499711C","129499711-R0C","Samsung","L16","18150(SEC)","A0503419","129499711","4517599523","0247-07525","240112-071-1","","","45303","45303","","","","","45306","45307","SS Plate UP","","","","","","","","1-0-1","317","317","","","317","","5127","","","1101","","","","","","","","","","","","","","","","","",""
"9384","130895045C","130895045-R0C","Samsung","L16","18150(SEC)","A0503419","130895045","4517569818","0247-07525","240108-071-27","","","45299","45299","","","","","45307","45308","SS Plate UP","","","","","","","","1-0-1","618","618","","","618","","10033","","","2156","","","","","","","","","","","","","","","","","",""
"9386","124588318C","124588318-R0C","Samsung","L16","18150(SEC)","A0503419","124588318","4517569810","0247-07525","240108-071-29","","","45299","45299","","","","","45307","45308","SS Plate UP","","","","","","","","1-0-1","4555","4555","","","455","","7314.27","","","1573.56","","","","","","","","","","","","","","","","","",""
"9390","130895026C","130895026-R0C","Samsung","L16","18150(SEC)","A0503419","130895026","4517569820","0247-07525","240108-071-33","","","45299","45299","","","","","45307","45308","SS Plate UP","","","","","","","","1-0-1","1","1","","","1","","15.99","","","3.44","","","","","","","","","","","","","","","","","",""
"9391","194118905C","194118905-R0C","Hynix","","7022(Hynix)","A0506293","194118905","4517570627","0247-05612","240109-072-1","","","45300","45300","","","","","45307","45308","Safeseal PM Counts Reach","","","","","","","","1-0-1","703","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9393","129499616C","129499616-R0C","Hynix","","21384(Hynix)","A0506293","129499616","4517569604","0247-05612","240109-072-3","","","45300","45300","","","","","45307","45308","SS Plate UP","","","","","","","","1-0-1","831","252","831","828","","","","","","","","","","","","","","","","","","","","","","","",""
"9395","137485315C","137485315-R0C","Hynix","","21384(Hynix)","A0506293","137485315","4517570631","0247-05612","240109-072-5","","","45300","45300","","","","","45307","45308","Safeseal PM Counts Reach","","","","","","","","1-0-1","1007","","","","","","","","","","","","","","","","","","","","","","","","","","",""
